Id_recommend_before,Id_recommend_after,Name_recommend_before,Name_recommend_after,similarity_before,similarity_after,distance_angle_si_before,distance_angle_si_after,text_si_before,text_si_after,Id,Name
319449,319449,Pricing card,Pricing card,2.788754792856236,2.7858130347030667,0.7887547928562361,0.7858130347030666,2.0,2.0,319449,Pricing card
2288601,2288601,Project sharing,Project sharing,1.574050017898026,1.5624095136614626,0.6720892335843005,0.6604487293477372,0.9019607843137254,0.9019607843137254,319449,Pricing card
319640,319640,File upload,File upload,1.552012963118362,1.5353686534420292,0.5766283477337466,0.5599840380574138,0.9753846153846154,0.9753846153846154,319449,Pricing card
319595,319595,Project sharing,Project sharing,1.5370467607929108,1.5291160811162696,0.648157871904022,0.6402271922273808,0.8888888888888888,0.8888888888888888,319449,Pricing card
319468,319468,Footer with newsletter,Footer with newsletter,1.4478317845663147,1.4288157352918613,0.5394984512329813,0.5204824019585281,0.9083333333333333,0.9083333333333333,319449,Pricing card
473525,473525,Action confirmation 2,Action confirmation 2,2.904608014635942,2.9065462000799394,0.9046080146359416,0.9065462000799392,2.0,2.0,2288387,Multiple actions confirmation
2288387,2288387,Multiple actions confirmation,Multiple actions confirmation,2.7989693077463897,2.7960022748961313,0.7989693077463896,0.7960022748961315,2.0,2.0,2288387,Multiple actions confirmation
2288653,2288653,Action confirmation 1,Action confirmation 1,2.6161716538739155,2.6128738838270613,0.7954169368927834,0.7921191668459291,1.8207547169811322,1.8207547169811322,2288387,Multiple actions confirmation
2098585,2098585,Action confirmation 3,Action confirmation 3,2.434760753412614,2.439814113680907,0.7331478501868074,0.7382012104551007,1.7016129032258065,1.7016129032258065,2288387,Multiple actions confirmation
319537,319537,Action confirmation 1,Action confirmation 1,2.292328889458032,2.2910534257244826,0.6454887407591474,0.6442132770255976,1.6468401486988848,1.6468401486988848,2288387,Multiple actions confirmation
319468,319468,Footer with newsletter,Footer with newsletter,2.8660966247575583,2.8662598816510036,0.8660966247575584,0.8662598816510036,2.0,2.0,319468,Footer with newsletter
319501,319501,Generic footer,Generic footer,2.790201958020279,2.790599193916036,0.7902019580202786,0.790599193916036,2.0,2.0,319468,Footer with newsletter
319395,319395,Sign in 1,Sign in 1,1.807346389893898,1.8066471419174648,0.42341781846532645,0.42271857048889344,1.3839285714285714,1.3839285714285714,319468,Footer with newsletter
319595,319595,Project sharing,Project sharing,1.75505412106682,1.7547493280771125,0.5264826924953915,0.5261778995056837,1.2285714285714286,1.2285714285714286,319468,Footer with newsletter
2288601,2288601,Project sharing,Project sharing,1.7208746498726084,1.7209071009635684,0.4923032213011797,0.49233567239213977,1.2285714285714286,1.2285714285714286,319468,Footer with newsletter
2139488,2139488,Tabs in pills,Tabs in pills,1.7209105656184365,1.7207744298319185,0.7209105656184366,0.7207744298319186,1.0,1.0,2139488,Tabs in pills
474046,474046,Tabs in pills,Tabs in pills,1.4024750269969082,1.4024293968349402,0.7358083603302414,0.7357627301682734,0.6666666666666666,0.6666666666666666,2139488,Tabs in pills
473769,473769,Pagination 3,Pagination 3,1.183675823201292,1.1822080099038477,0.96145360097907,0.9599857876816256,0.2222222222222222,0.2222222222222222,2139488,Tabs in pills
2288669,2288669,Segment,Segment,1.1560977402690278,1.1556204882013668,0.6106431948144823,0.6101659427468213,0.5454545454545454,0.5454545454545454,2139488,Tabs in pills
2098636,2098636,Floating banner,Floating banner,1.1039924578547342,1.1024621503530778,0.8373257911880676,0.8357954836864111,0.26666666666666666,0.26666666666666666,2139488,Tabs in pills
2139495,2139495,Bubble chat,Bubble chat,2.7929793391211932,2.800148295359013,0.7929793391211932,0.8001482953590131,2.0,2.0,2139495,Bubble chat
2098611,2098611,Bubble message,Bubble message,2.714820811463642,2.72706833487121,0.714820811463642,0.72706833487121,2.0,2.0,2139495,Bubble chat
2288575,2288575,Message card,Message card,2.0987948198422375,2.1083688874201263,0.67774218826329,0.6873162558411791,1.4210526315789473,1.4210526315789473,2139495,Bubble chat
4850,4850,Data card,Data card,2.067274599682811,2.0863346964664657,0.5966863643886932,0.6157464611723478,1.4705882352941178,1.4705882352941178,2139495,Bubble chat
4848,319588,Message card,Notification card,2.054515771711607,2.069099232078711,0.6795157717116072,0.5505807135601923,1.375,1.5185185185185186,2139495,Bubble chat
473572,473572,Combo box,Combo box,1.987306192131924,1.9867236061159694,0.987306192131924,0.9867236061159695,1.0,1.0,473572,Combo box
473796,473796,Simple dropdown,Simple dropdown,0.705331060868768,0.6967358898089775,0.705331060868768,0.6967358898089775,0.0,0.0,473572,Combo box
2288601,2288601,Project sharing,Project sharing,0.46153846153846156,0.46153846153846156,0.0,0.0,0.46153846153846156,0.46153846153846156,473572,Combo box
319595,319595,Project sharing,Project sharing,0.46153846153846156,0.46153846153846156,0.0,0.0,0.46153846153846156,0.46153846153846156,473572,Combo box
2286525,2286525,Navigation drawer 2,Navigation drawer 2,0.46118940303937384,0.45806473566903244,0.28727635956111297,0.2841516921907716,0.17391304347826086,0.17391304347826086,473572,Combo box
2286525,2286525,Navigation drawer 2,Navigation drawer 2,2.6691011971322376,2.667874157601671,0.6691011971322377,0.6678741576016712,2.0,2.0,2286525,Navigation drawer 2
473776,473776,Profile dropdown,Profile dropdown,2.082180592721289,2.07835955506292,0.3946805927212889,0.3908595550629201,1.6875,1.6875,2286525,Navigation drawer 2
2727,2727,Navigation header,Navigation header,1.9493126949489212,1.9455952806040866,0.3567201023563286,0.3530026880114941,1.5925925925925926,1.5925925925925926,2286525,Navigation drawer 2
