index,distance_angle_similarity,text_si,similarity,Id_recommend,Name_recommend,Id_input
3,0.5270150690445867,2.0,2.5270150690445865,2098594,Action confirmation 4,319537
44,0.5033586924492024,2.0,2.5033586924492024,319537,Action confirmation 1,319537
67,0.626414639514753,1.8143322475570032,2.4407468870717564,2288653,Action confirmation 1,319537
10,0.4044422766605094,1.9387755102040818,2.3432177868645914,2098585,Action confirmation 3,319537
39,0.6553695421331356,1.6468401486988848,2.3022096908320204,473525,Action confirmation 2,319537
