user_id,0,1,2,4,5,6,7,8,9,10,11,12,13,14,16,17,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,43,45,46,47,48,49,50,52,53,54,55,56,57,58,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,97,98,99,100,101,102,103,104
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,20.0,1.0,2.0,11.0,,,5.0,8.0,8.0,,,,,3.0,3.0,5.0,4.0,1.0,,,,,,,14.0,25.0,1.0,1.0,22.0,15.0,2.0,2.0,5.0,,2.0,1.0,2.0,2.0,12.0,8.0,7.0,19.0,1.0,9.0,6.0,5.0,11.0,,,6.0,4.0,4.0,6.0,,2.0,7.0,4.0,4.0,9.0,5.0,27.0,17.0,23.0,25.0,19.0,26.0,24.0,,1.0,16.0,,12.0,,,,4.0,2.0,11.0,13.0,11.0,,8.0,,,,,6.0,4.0,3.0,21.0,4.0,4.0,5.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
9,,3.0,,,2.0,,,1.0,2.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,2.0,,2.0,1.0,,,3.0,3.0,,,,,,,1.0,1.0,4.0,2.0,2.0,1.0,,1.0,1.0,4.0,3.0,2.0,,,1.0,1.0,1.0,,,3.0,,,1.0,1.0,2.0,2.0,2.0,8.0,5.0,8.0,1.0,,,1.0,,2.0,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,5.0,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
12,1.0,3.0,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,1.0,,,2.0,,2.0,,,,2.0,2.0,2.0,,,1.0,,,3.0,,,,2.0,,2.0,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,2.0,,,,2.0,,2.0,2.0,2.0,,2.0,,,,,,,,3.0,,,,
13,2.0,7.0,,2.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,4.0,4.0,,,3.0,1.0,1.0,2.0,3.0,,,,2.0,2.0,1.0,,,2.0,,6.0,,,,,,,,,,,,1.0,,,1.0,,8.0,4.0,4.0,7.0,8.0,6.0,8.0,,1.0,1.0,,5.0,,,,,,1.0,,,,2.0,,,,,,,,3.0,,1.0,,
15,,2.0,,,2.0,,,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,,,,,,,2.0,,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,1.0,,,,,1.0,,,1.0,2.0,1.0,,
37,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,3.0,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,2.0,,,,7.0,,,1.0,,2.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,
68,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,,,2.0,1.0,2.0,,,,3.0,3.0,,,1.0,2.0,,2.0,,,3.0,,,,,,1.0,,,,,,2.0,,4.0,3.0,4.0,6.0,1.0,3.0,6.0,,,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,4.0,,2.0,,
