user_id,0,1,2,4,5,6,7,8,9,10,11,12,13,14,16,17,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,43,45,46,47,48,49,50,52,53,54,55,56,57,58,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,97,98,99,100,101,102,103,104
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
4,0.18518518518518517,3.7037037037037037,0.18518518518518517,0.37037037037037035,2.037037037037037,,,0.9259259259259259,1.4814814814814814,1.4814814814814814,,,,,0.5555555555555556,0.5555555555555556,0.9259259259259259,0.7407407407407407,0.18518518518518517,,,,,,,2.5925925925925926,4.62962962962963,0.18518518518518517,0.18518518518518517,4.074074074074074,2.7777777777777777,0.37037037037037035,0.37037037037037035,0.9259259259259259,,0.37037037037037035,0.18518518518518517,0.37037037037037035,0.37037037037037035,2.2222222222222223,1.4814814814814814,1.2962962962962963,3.5185185185185186,0.18518518518518517,1.6666666666666667,1.1111111111111112,0.9259259259259259,2.037037037037037,,,1.1111111111111112,0.7407407407407407,0.7407407407407407,1.1111111111111112,,0.37037037037037035,1.2962962962962963,0.7407407407407407,0.7407407407407407,1.6666666666666667,0.9259259259259259,5.0,3.1481481481481484,4.2592592592592595,4.62962962962963,3.5185185185185186,4.814814814814815,4.444444444444445,,0.18518518518518517,2.962962962962963,,2.2222222222222223,,,,0.7407407407407407,0.37037037037037035,2.037037037037037,2.4074074074074074,2.037037037037037,,1.4814814814814814,,,,,1.1111111111111112,0.7407407407407407,0.5555555555555556,3.888888888888889,0.7407407407407407,0.7407407407407407,0.9259259259259259,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,2.5,,2.5,2.5,2.5,,,,5.0,,,2.5,,2.5,,,,,,,,,,,,,,,,,,5.0,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
9,,1.875,,,1.25,,,0.625,1.25,0.625,,0.625,,0.625,0.625,,,,,0.625,,0.625,,1.25,,1.25,0.625,,,1.875,1.875,,,,,,,0.625,0.625,2.5,1.25,1.25,0.625,,0.625,0.625,2.5,1.875,1.25,,,0.625,0.625,0.625,,,1.875,,,0.625,0.625,1.25,1.25,1.25,5.0,3.125,5.0,0.625,,,0.625,,1.25,,,,0.625,,1.25,0.625,0.625,,,,,,,,,,3.125,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
12,1.6666666666666667,5.0,,,3.3333333333333335,,,,3.3333333333333335,3.3333333333333335,,,,,,,,,,,,,,,,3.3333333333333335,3.3333333333333335,,,1.6666666666666667,1.6666666666666667,,,3.3333333333333335,,3.3333333333333335,,,,3.3333333333333335,3.3333333333333335,3.3333333333333335,,,1.6666666666666667,,,5.0,,,,3.3333333333333335,,3.3333333333333335,,,,,,1.6666666666666667,3.3333333333333335,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,,,1.6666666666666667,,3.3333333333333335,,,,3.3333333333333335,,3.3333333333333335,3.3333333333333335,3.3333333333333335,,3.3333333333333335,,,,,,,,5.0,,,,
