distance_angle_similarity,text_si,similarity,Id_recommend,Name_recommend,Id,Name
0.9230882825326374,1.0,1.9230882825326374,4853,Dashboard card with chart,4853,Dashboard card with chart
0.3161317165731479,1.0,1.3161317165731479,4851,Dashboard card,4853,Dashboard card with chart
0.4365146349494521,0.4,0.8365146349494521,2098818,Welcome modal 2,4853,Dashboard card with chart
0.4233420751895093,0.4,0.8233420751895093,319415,Generic card (compact),4853,Dashboard card with chart
0.3736074140564824,0.43478260869565216,0.8083900227521346,2288531,Horizontal media card,4853,Dashboard card with chart
0.9678851432503287,2.0,2.967885143250329,2288631,Top bar 2,2288631,Top bar 2
0.6226669998597085,1.8,2.4226669998597083,48666,Secondary header,2288631,Top bar 2
0.5672408287670238,1.8,2.3672408287670237,2726,Header with search box,2288631,Top bar 2
0.523036145484113,1.8,2.323036145484113,2727,Navigation header,2288631,Top bar 2
0.4574220123250385,1.0,1.4574220123250385,61330,Icon menu sidebar,2288631,Top bar 2
0.9354055912090902,3.0,3.93540559120909,2725,Edit profile,2725,Edit profile
0.6747639316942686,1.5714285714285714,2.24619250312284,319640,File upload,2725,Edit profile
0.4621505967947335,1.7232142857142856,2.185364882509019,473596,Create new item,2725,Edit profile
0.7094406284411116,1.4298478291218764,2.139288457562988,2098714,Sign in 2,2725,Edit profile
0.6860794301638952,1.3333333333333333,2.0194127634972285,473525,Action confirmation 2,2725,Edit profile
0.9042113694485034,1.0,1.9042113694485034,4853,Dashboard card with chart,4853,Dashboard card with chart
0.34034872302484315,1.0,1.3403487230248432,2288531,Horizontal media card,4853,Dashboard card with chart
0.29573422778464226,1.0,1.2957342277846422,4788,Horizontal media card,4853,Dashboard card with chart
0.26874367420997636,1.0,1.2687436742099765,4851,Dashboard card,4853,Dashboard card with chart
0.23707823747138984,0.5,0.7370782374713898,2098704,Progress bar,4853,Dashboard card with chart
0.8677252742315767,2.0,2.8677252742315766,4849,Kanban card,4849,Kanban card
0.5428066900623841,1.828125,2.3709316900623842,319588,Notification card,4849,Kanban card
0.6876965139696446,1.3147208121827412,2.002417326152386,2098611,Bubble message,4849,Kanban card
0.6147305654231833,1.275,1.889730565423183,2288629,Social invitation card,4849,Kanban card
0.5933772774302547,1.2222222222222223,1.815599499652477,4848,Message card,4849,Kanban card
0.9460218508867477,2.0,2.9460218508867477,48666,Secondary header,48666,Secondary header
0.8357645617512405,2.0,2.8357645617512404,2726,Header with search box,48666,Secondary header
0.8075561567276879,2.0,2.8075561567276877,2727,Navigation header,48666,Secondary header
0.7377178822916668,1.8,2.537717882291667,2288631,Top bar 2,48666,Secondary header
0.6923621611690407,1.0,1.6923621611690407,2139480,Top bar 1,48666,Secondary header
0.8830202622968573,4.0,4.883020262296857,2288601,Project sharing,2288601,Project sharing
0.7553284307020081,3.7058823529411766,4.4612107836431845,319595,Project sharing,2288601,Project sharing
0.604518157448986,1.6791208791208792,2.2836390365698653,2098714,Sign in 2,2288601,Project sharing
0.5058341643033467,1.7773279352226723,2.283162099526019,2288629,Social invitation card,2288601,Project sharing
0.504883695448111,1.7773279352226723,2.2822116306707834,4824,Social invitation card,2288601,Project sharing
0.8657652189544001,2.0,2.8657652189544,2729,Multi-level menu sidebar,2729,Multi-level menu sidebar
0.860245055651954,2.0,2.860245055651954,2728,Simple menu sidebar,2729,Multi-level menu sidebar
0.3893613193564156,2.0,2.3893613193564156,2286525,Navigation drawer 2,2729,Multi-level menu sidebar
0.5807937570948326,1.6666666666666665,2.247460423761499,2727,Navigation header,2729,Multi-level menu sidebar
0.6518294882517249,1.0,1.651829488251725,61330,Icon menu sidebar,2729,Multi-level menu sidebar
0.8644812143038164,2.0,2.8644812143038165,319449,Pricing card,319449,Pricing card
0.5851562099634674,0.9019607843137254,1.487116994277193,2288601,Project sharing,319449,Pricing card
0.5734932035447046,0.8888888888888888,1.4623820924335935,319595,Project sharing,319449,Pricing card
0.434005365951916,0.9753846153846154,1.4093899813365314,319640,File upload,319449,Pricing card
0.4531541577850548,0.9464285714285714,1.3995827292136263,319468,Footer with newsletter,319449,Pricing card
0.8407982771445612,1.0,1.8407982771445612,2098629,Empty state,2098629,Empty state
0.7320136363273383,0.9826589595375722,1.7146725958649105,2098810,Welcome modal 1,2098629,Empty state
0.7840490435449946,0.4074074074074074,1.191456450952402,2139535,Inline message 1,2098629,Empty state
0.7841847100531438,0.3404255319148936,1.1246102419680375,473604,Inline message 1,2098629,Empty state
0.7715058298365597,0.3471698113207547,1.1186756411573144,2098818,Welcome modal 2,2098629,Empty state
0.8534287693444532,1.0,1.853428769344453,4788,Horizontal media card,4788,Horizontal media card
0.6989666535241194,1.0,1.6989666535241192,2288531,Horizontal media card,4788,Horizontal media card
0.48977577546255685,1.0,1.489775775462557,2288641,Vertical media card,4788,Horizontal media card
0.32863808318040255,1.0,1.3286380831804026,4853,Dashboard card with chart,4788,Horizontal media card
0.2787249075047732,1.0,1.278724907504773,4779,Vertical media card,4788,Horizontal media card
0.854528941801808,0.0,0.854528941801808,2288684,Toast message,2288684,Toast message
0.8334957700992377,0.0,0.8334957700992377,2098801,Sticky banner,2288684,Toast message
0.8316385817448675,0.0,0.8316385817448675,2139511,Floating banner,2288684,Toast message
0.7896429865141478,0.0,0.7896429865141478,473671,Number input 2,2288684,Toast message
0.789604506037677,0.0,0.789604506037677,473678,Number input 3,2288684,Toast message
0.8312876382956328,3.0,3.831287638295633,319570,Link sharing,319570,Link sharing
0.869067271055103,1.2,2.069067271055103,2288551,Link sharing,319570,Link sharing
